"group","fullname","sortname","city","state","country","title"
"A","Ashley Claire Arnold, MSN, AGACNP-BC, AACC","Arnold","West Greenwich","Rhode Island",,
"A","Nicole Authelet, PA-C, AACC","Authelet","Boston","Massachusetts",,
"B","Elvira Baquerizo, NP-C, AACC","Baquerizo","Perth Amboy","New Jersey",,
"B","Kaitlyn Bayer, AGACNP-BC, CNP, AACC","Bayer","Columbus","Ohio",,
"B","Tania Borja-Rodriguez, FNP-BC, AACC","Borja-Rodriguez","Mountain View","California",,
"B","Cheryl Bray, FNP, MSN, AACC","Bray","Citrus Springs","Florida",,
"B","Christy N. Burkhart, BSN, CCRN, RN, AACC","Burkhart","Dade City","Florida",,
"C","Henrietta C. Caday, NP-C, AACC","Caday","Jupiter","Florida",,
"C","Ken Chan, ACNPC-AG, CCRN, RCIS, AACC","Chan","Houston","Texas",,
"C","Richard Clews, AGACNP-BC, AACC","Clews","Boise","Idaho",,
"C","Michele M. Cole, BSN, RN, CV-BC, AACC","Cole","Keystone Heights","Florida",,
"D","Jonathan David, MSN, RN, CCRP, NE-BC, AACC","David","Milpitas","California",,
"D","Stephanie DeGeare, RN, AACC","DeGeare","Belleville","Illinois",,
"E","Dawn Eckler, APRN, AACC","Eckler","Denver","Colorado",,
"E","Courtney Estes, AGPCNP-BC, AACC","Estes","Vestavia Hills","Alabama",,
"F","Kate Fontana, PA-C, AACC","Fontana","Arlington Heights","Illinois",,
"F","Janell Grazzini Frantz, FNP-BC, AACC","Frantz","Rochester","Minnesota",,
"G","Thomas Gutchewsky, ACNP-BC, AACC","Gutchewsky","Naperville","Illinois",,
"H","Brianna Hellier, RN, AACC","Hellier","Pittsburgh","Pennsylvania",,
"H","Melissa Hernandez, DScPAS, PA-C, AACC","Hernandez","Port Chester","New York",,
"H","Benjamin A. Hocutt, MSN, ACNP, AACC","Hocutt","Lakewood","Washington",,
"H","Ellen Hoffer, APRN, MSN, AACC","Hoffer","Wakefield","Rhode Island",,
"H","Shauna L. Holden, NP-C, AACC","Holden","Burlington","Massachusetts",,
"H","Kristin L. Hostetler, APRN, AACC","Hostetler","Fernandina Beach","Florida",,
"H","Margaretann House, DNP, FNP-C, MHA, AACC","House","Raleigh","North Carolina",,
"H","Tracie Hughes, BSN, AACC","Hughes","Hudson","Florida",,
